Przypadek;Rozmiar;Wype³nienie;Funkcja;Strategia;CzasInsert[ms];AvgInsertProbes;CzasRemove[ms];AvgRemoveProbes;;;;;;;;;
Optymistyczny;20000;25;Multiplicative;TwoChoice;0.054;0.000;0.056;1.000;;;;;;;;;
Optymistyczny;20000;25;XOR+Shift;Linear;0.574;59.863;0.575;59.863;;;;;;;;;
Optymistyczny;20000;25;XOR+Shift;Quadratic;0.246;7.598;0.231;7.598;;;;;;;;;
Optymistyczny;20000;25;XOR+Shift;RobinHood;3.012;59.863;0.647;59.863;;;;;;;;;
Optymistyczny;20000;25;XOR+Shift;SeparateChain;0.179;0.715;0.131;1.715;;;;;;;;;
Optymistyczny;20000;25;XOR+Shift;TwoChoice;0.631;58.863;0.260;17.772;;;;;;;;;
Optymistyczny;20000;25;Universal;Linear;0.085;1.000;0.079;1.000;;;;;;;;;
Optymistyczny;20000;25;Universal;Quadratic;0.057;1.000;0.052;1.000;;;;;;;;;
Optymistyczny;20000;25;Universal;RobinHood;0.061;1.000;0.050;1.000;;;;;;;;;
Optymistyczny;20000;25;Universal;SeparateChain;0.205;0.000;0.145;1.000;;;;;;;;;
Optymistyczny;20000;25;Universal;TwoChoice;0.063;0.000;0.064;1.000;;;;;;;;;
Optymistyczny;20000;50;Modular;Linear;3.963;250.500;4.477;250.500;;;;;;;;;
Optymistyczny;20000;50;Modular;Quadratic;314.683;13671.956;339.769;13671.956;;;;;;;;;
Optymistyczny;20000;50;Modular;RobinHood;21.577;250.500;3.621;250.500;;;;;;;;;
Optymistyczny;20000;50;Modular;SeparateChain;9.988;249.500;9.587;250.500;;;;;;;;;
Optymistyczny;20000;50;Modular;TwoChoice;2.359;142.778;0.141;2.752;;;;;;;;;
Optymistyczny;20000;50;Multiplicative;Linear;0.097;1.000;0.086;1.000;;;;;;;;;
Optymistyczny;20000;50;Multiplicative;Quadratic;0.099;1.000;0.091;1.000;;;;;;;;;
Optymistyczny;20000;50;Multiplicative;RobinHood;0.110;1.000;0.092;1.000;;;;;;;;;
Optymistyczny;20000;50;Multiplicative;SeparateChain;0.421;0.000;0.320;1.000;;;;;;;;;
Optymistyczny;20000;50;Multiplicative;TwoChoice;0.175;0.000;0.194;1.000;;;;;;;;;
Optymistyczny;20000;50;XOR+Shift;Linear;1.889;109.401;1.878;109.401;;;;;;;;;
Optymistyczny;20000;50;XOR+Shift;Quadratic;0.511;9.826;0.498;9.826;;;;;;;;;
Optymistyczny;20000;50;XOR+Shift;RobinHood;11.700;109.401;2.304;109.401;;;;;;;;;
Optymistyczny;20000;50;XOR+Shift;SeparateChain;0.354;0.689;0.328;1.689;;;;;;;;;
Optymistyczny;20000;50;XOR+Shift;TwoChoice;1.888;108.401;0.697;29.122;;;;;;;;;
Optymistyczny;20000;50;Universal;Linear;0.109;1.000;0.100;1.000;;;;;;;;;
Optymistyczny;20000;50;Universal;Quadratic;0.227;1.000;0.211;1.000;;;;;;;;;
Optymistyczny;20000;50;Universal;RobinHood;0.119;1.000;0.101;1.000;;;;;;;;;
Optymistyczny;20000;50;Universal;SeparateChain;0.405;0.000;0.333;1.000;;;;;;;;;
Optymistyczny;20000;50;Universal;TwoChoice;0.126;0.000;0.130;1.000;;;;;;;;;
Optymistyczny;20000;75;Modular;Linear;8.714;375.500;8.585;375.500;;;;;;;;;
Optymistyczny;20000;75;Modular;Quadratic;556.265;15781.304;546.808;15781.304;;;;;;;;;
Optymistyczny;20000;75;Modular;RobinHood;49.744;375.500;8.164;375.500;;;;;;;;;
Optymistyczny;20000;75;Modular;SeparateChain;23.805;374.500;24.658;375.500;;;;;;;;;
Optymistyczny;20000;75;Modular;TwoChoice;5.360;221.162;0.218;2.766;;;;;;;;;
Optymistyczny;20000;75;Multiplicative;Linear;0.159;1.000;0.158;1.000;;;;;;;;;
Optymistyczny;20000;75;Multiplicative;Quadratic;0.161;1.000;0.150;1.000;;;;;;;;;
Optymistyczny;20000;75;Multiplicative;RobinHood;0.166;1.000;0.139;1.000;;;;;;;;;
Optymistyczny;20000;75;Multiplicative;SeparateChain;0.678;0.000;0.511;1.000;;;;;;;;;
Optymistyczny;20000;75;Multiplicative;TwoChoice;0.159;0.000;0.165;1.000;;;;;;;;;
Optymistyczny;20000;75;XOR+Shift;Linear;4.320;175.508;4.406;175.508;;;;;;;;;
Optymistyczny;20000;75;XOR+Shift;Quadratic;0.837;11.885;0.848;11.885;;;;;;;;;
Optymistyczny;20000;75;XOR+Shift;RobinHood;27.062;175.508;5.575;175.508;;;;;;;;;
Optymistyczny;20000;75;XOR+Shift;SeparateChain;0.671;0.754;0.441;1.754;;;;;;;;;
Optymistyczny;20000;75;XOR+Shift;TwoChoice;4.374;174.508;1.137;33.603;;;;;;;;;
Optymistyczny;20000;75;Universal;Linear;0.303;1.132;0.220;1.132;;;;;;;;;
Optymistyczny;20000;75;Universal;Quadratic;0.292;1.132;0.275;1.132;;;;;;;;;
Optymistyczny;20000;75;Universal;RobinHood;0.375;1.132;0.257;1.132;;;;;;;;;
Optymistyczny;20000;75;Universal;SeparateChain;1.047;0.132;0.565;1.132;;;;;;;;;
Optymistyczny;20000;75;Universal;TwoChoice;0.225;0.158;0.254;1.232;;;;;;;;;
Optymistyczny;20000;90;Modular;Linear;12.485;450.500;12.483;450.500;;;;;;;;;
Optymistyczny;20000;90;Modular;Quadratic;695.224;16484.420;735.041;16484.420;;;;;;;;;
Optymistyczny;20000;90;Modular;RobinHood;76.113;450.500;12.596;450.500;;;;;;;;;
Optymistyczny;20000;90;Modular;SeparateChain;36.179;449.500;33.064;450.500;;;;;;;;;
Optymistyczny;20000;90;Modular;TwoChoice;7.739;272.307;0.264;2.776;;;;;;;;;
Optymistyczny;20000;90;Multiplicative;Linear;0.181;1.064;0.166;1.064;;;;;;;;;
Optymistyczny;20000;90;Multiplicative;Quadratic;0.192;1.135;0.179;1.135;;;;;;;;;
Optymistyczny;20000;90;Multiplicative;RobinHood;0.221;1.064;0.178;1.064;;;;;;;;;
Optymistyczny;20000;90;Multiplicative;SeparateChain;0.757;0.011;0.638;1.011;;;;;;;;;
Optymistyczny;20000;90;Multiplicative;TwoChoice;0.205;0.060;0.204;1.020;;;;;;;;;
Optymistyczny;20000;90;XOR+Shift;Linear;5.970;204.800;5.936;204.800;;;;;;;;;
Optymistyczny;20000;90;XOR+Shift;Quadratic;1.329;12.887;1.193;12.887;;;;;;;;;
Optymistyczny;20000;90;XOR+Shift;RobinHood;38.433;204.800;8.144;204.800;;;;;;;;;
Optymistyczny;20000;90;XOR+Shift;SeparateChain;0.711;0.820;0.539;1.820;;;;;;;;;
Optymistyczny;20000;90;XOR+Shift;TwoChoice;5.945;203.800;1.469;37.656;;;;;;;;;
Optymistyczny;20000;90;Universal;Linear;0.232;1.967;0.224;1.967;;;;;;;;;
Optymistyczny;20000;90;Universal;Quadratic;0.246;1.720;0.236;1.720;;;;;;;;;
Optymistyczny;20000;90;Universal;RobinHood;0.765;1.967;0.312;1.967;;;;;;;;;
Optymistyczny;20000;90;Universal;SeparateChain;0.809;0.190;0.697;1.190;;;;;;;;;
Optymistyczny;20000;90;Universal;TwoChoice;0.328;1.084;0.300;1.369;;;;;;;;;
Optymistyczny;20000;99;Modular;Linear;15.148;495.500;15.015;495.500;;;;;;;;;
Optymistyczny;20000;99;Modular;Quadratic;839.559;16804.018;784.627;16804.018;;;;;;;;;
Optymistyczny;20000;99;Modular;RobinHood;134.383;495.500;23.996;495.500;;;;;;;;;
Optymistyczny;20000;99;Modular;SeparateChain;67.136;494.500;64.495;495.500;;;;;;;;;
Optymistyczny;20000;99;Modular;TwoChoice;18.401;309.476;0.433;2.787;;;;;;;;;
Optymistyczny;20000;99;Multiplicative;Linear;0.571;1.575;0.352;1.575;;;;;;;;;
Optymistyczny;20000;99;Multiplicative;Quadratic;0.756;2.686;0.303;2.686;;;;;;;;;
Optymistyczny;20000;99;Multiplicative;RobinHood;0.773;1.575;0.527;1.575;;;;;;;;;
Optymistyczny;20000;99;Multiplicative;SeparateChain;1.956;0.032;1.316;1.032;;;;;;;;;
Optymistyczny;20000;99;Multiplicative;TwoChoice;0.386;0.663;0.391;1.070;;;;;;;;;
Optymistyczny;20000;99;XOR+Shift;Linear;12.289;213.126;10.511;213.126;;;;;;;;;
Optymistyczny;20000;99;XOR+Shift;Quadratic;1.592;14.683;1.940;14.683;;;;;;;;;
Optymistyczny;20000;99;XOR+Shift;RobinHood;64.632;213.126;17.050;213.126;;;;;;;;;
Optymistyczny;20000;99;XOR+Shift;SeparateChain;1.878;0.812;1.451;1.812;;;;;;;;;
Optymistyczny;20000;99;XOR+Shift;TwoChoice;15.342;212.126;2.367;42.251;;;;;;;;;
Optymistyczny;20000;99;Universal;Linear;0.541;3.902;0.521;3.902;;;;;;;;;
Optymistyczny;20000;99;Universal;Quadratic;0.528;3.352;0.495;3.352;;;;;;;;;
Optymistyczny;20000;99;Universal;RobinHood;1.526;3.902;1.569;3.902;;;;;;;;;
Optymistyczny;20000;99;Universal;SeparateChain;1.395;0.216;1.140;1.216;;;;;;;;;
Optymistyczny;20000;99;Universal;TwoChoice;1.069;9.091;0.511;1.479;;;;;;;;;
Optymistyczny;30000;25;Modular;Linear;3.148;125.500;2.483;125.500;;;;;;;;;
Optymistyczny;30000;25;Modular;Quadratic;326.454;10983.912;234.924;10983.912;;;;;;;;;
Optymistyczny;30000;25;Modular;RobinHood;9.078;125.500;1.572;125.500;;;;;;;;;
Optymistyczny;30000;25;Modular;SeparateChain;4.295;124.500;3.365;125.500;;;;;;;;;
Optymistyczny;30000;25;Modular;TwoChoice;1.163;56.620;0.107;2.667;;;;;;;;;
Optymistyczny;30000;25;Multiplicative;Linear;0.126;1.000;0.118;1.000;;;;;;;;;
Optymistyczny;30000;25;Multiplicative;Quadratic;0.128;1.000;0.119;1.000;;;;;;;;;
Optymistyczny;30000;25;Multiplicative;RobinHood;0.164;1.000;0.118;1.000;;;;;;;;;
Optymistyczny;30000;25;Multiplicative;SeparateChain;0.808;0.000;0.502;1.000;;;;;;;;;
